dataset,model,init,norm,seed,auc,auprc,val_auprc,best_epoch,train_time_s,mad,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
amazon,GCN,default,none,0,0.7918147769833164,0.23935031856755545,0.273371099133871,53,181.3,0.00010460913472343236,0.7914373504104161,0.018474312589237412,0.2503053546351463,0.029224022250940365,0.33663366336633666,0.28451882845188287,0.4121212121212121,0.09523809523809523,0.375,0.05454545454545454,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,none,1,0.7890936329588014,0.24835279138876273,,-1,72.5,5.4312069551087916e-05,0.7906297486754602,0.01740586868175432,0.25736697903231126,0.030891220005562083,0.35148514851485146,0.29707112970711297,0.4303030303030303,0.07407407407407407,0.2916666666666667,0.04242424242424243,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,none,2,0.8214177732379979,0.3185828092309382,,-1,72.6,7.655919034732506e-05,0.823707677666284,0.018361620304721313,0.3257842430126901,0.037499769190998185,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.12698412698412698,0.5,0.07272727272727272,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,none,3,0.7952631937351039,0.266855415349702,,-1,72.6,5.527266694116406e-05,0.7958955956153004,0.015778566656573012,0.27217522063155886,0.028731188276787004,0.31683168316831684,0.26778242677824265,0.3878787878787879,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,none,4,0.812728634661219,0.2868573150249847,,-1,72.6,9.294802293879911e-05,0.8115645725395492,0.019244840183381025,0.289910678081789,0.032455774121025,0.3118811881188119,0.26359832635983266,0.38181818181818183,0.10582010582010581,0.4166666666666667,0.06060606060606061,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,batch,0,0.8235886959482465,0.31980178627809314,0.3364084676335391,299,181.4,0.028659166768193245,0.8232410481250477,0.01815808268983072,0.33396870045162963,0.03793796523387349,0.37623762376237624,0.3179916317991632,0.46060606060606063,0.12698412698412698,0.5,0.07272727272727272,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,batch,1,0.8193857677902622,0.3534775723220629,,-1,72.8,0.022233128547668457,0.8210623617686806,0.016410699395688108,0.36091409887604015,0.04145824613307957,0.4207920792079208,0.35564853556485354,0.5151515151515151,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,batch,2,0.8448049029622062,0.407578107611529,,-1,72.9,0.022181030362844467,0.8467071935860824,0.01772855724502577,0.4139995281074734,0.04019283342281772,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.17989417989417988,0.7083333333333334,0.10303030303030303,0.03571428571428571,1.0,0.01818181818181818
amazon,GCN,default,batch,3,0.8209465440926116,0.35354953549516094,,-1,72.8,0.03039216622710228,0.8214597215524888,0.015668080900238187,0.35963211163029096,0.03780809696354975,0.3811881188118812,0.32217573221757323,0.4666666666666667,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,batch,4,0.8357480422199524,0.37486292252256287,,-1,72.8,0.026226330548524857,0.8340570839222751,0.018647780837308038,0.3756429566172506,0.04003146337049181,0.400990099009901,0.3389121338912134,0.4909090909090909,0.1693121693121693,0.6666666666666666,0.09696969696969697,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,layer,0,0.7753735103847463,0.2048769961663947,0.2501685042319505,208,181.4,0.0012949490919709206,0.7758282195736252,0.018892310494587207,0.2149679728870917,0.026864419842151176,0.297029702970297,0.2510460251046025,0.36363636363636365,0.07407407407407407,0.2916666666666667,0.04242424242424243,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,layer,1,0.775605039155601,0.22672363647439747,,-1,72.9,0.0008749222615733743,0.7768214846305738,0.01615613684296427,0.23517371480420513,0.03247318101209418,0.2722772277227723,0.2301255230125523,0.3333333333333333,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.011904761904761904,0.3333333333333333,0.006060606060606061
