model,init,norm,mean,std,count
GAT,default,batch,0.48043887757379755,0.24132593642265018,5
GAT,default,graph,0.4746738072224469,0.27777268472441696,5
GAT,default,layer,0.31692531072565056,0.25260669477907516,5
GAT,default,none,0.24757472464528565,0.23423937428225164,5
GAT,default,pair,0.16985834563288355,0.08907438908686417,5
GAT,kaiming,batch,0.5267458887643539,0.21328122426909327,5
GAT,kaiming,graph,0.5326458155914242,0.23710156882287065,5
GAT,kaiming,layer,0.3414943793666927,0.23923217033638336,5
GAT,kaiming,none,0.20031116348380468,0.19380872920562103,5
GAT,kaiming,pair,0.21003170506709345,0.11414460171888745,5
GAT,xavier,batch,0.5228472265969748,0.21211036217647178,5
GAT,xavier,graph,0.5455415336648743,0.22671444851900652,5
GAT,xavier,layer,0.3229380344291534,0.24827942100588196,5
GAT,xavier,none,0.20013139845136863,0.1921228182953957,5
GAT,xavier,pair,0.20779137049011095,0.11468753277385879,5
GCN,default,batch,0.3618539848458817,0.03227786947870151,5
GCN,default,graph,0.3587248268091904,0.03158934857912848,5
GCN,default,layer,0.2417953237859404,0.035688056303452495,5
GCN,default,none,0.2719997299123886,0.0317897658421718,5
GCN,default,pair,0.273884628145741,0.03485757098841034,5
GCN,kaiming,batch,0.38000445629176854,0.053474774952255194,5
GCN,kaiming,graph,0.3814343291050366,0.05144705286345573,5
GCN,kaiming,layer,0.2444179597992783,0.03120887015461468,5
GCN,kaiming,none,0.2828718778668241,0.033689897740997954,5
GCN,kaiming,pair,0.27443301518218777,0.03601042337555859,5
GCN,xavier,batch,0.38139368357574277,0.05479716455439641,5
GCN,xavier,graph,0.3808451296702756,0.051325543777481816,5
GCN,xavier,layer,0.24442606700981603,0.030954131765519203,5
GCN,xavier,none,0.2819312263649486,0.031283194816304476,5
GCN,xavier,pair,0.2744619507974963,0.03588227400333214,5
SAGE,default,batch,0.8698604901649315,0.026702818653767592,5
SAGE,default,graph,0.8712303784977454,0.025911258850687766,5
SAGE,default,layer,0.8447791685244175,0.026440030062653976,5
SAGE,default,none,0.7506540692653312,0.11696547874344483,5
SAGE,default,pair,0.32378607368404866,0.05026578432511241,5
SAGE,kaiming,batch,0.8696644132692104,0.028666776440857085,5
SAGE,kaiming,graph,0.8717448381442743,0.026726282534466114,5
SAGE,kaiming,layer,0.8486503802844828,0.029537056285274237,5
SAGE,kaiming,none,0.8143606212410284,0.024763691608687525,5
SAGE,kaiming,pair,0.356880000035238,0.0528217342345673,5
SAGE,xavier,batch,0.8692515463830762,0.029024270047909587,5
SAGE,xavier,graph,0.8712006559383216,0.026927881812566053,5
SAGE,xavier,layer,0.8484950609164669,0.030048222287306737,5
SAGE,xavier,none,0.7661196139835251,0.11122342722894532,5
SAGE,xavier,pair,0.355468383340065,0.05269987715570341,5
