model,init,norm,mean,std,count
GAT,default,batch,36.4,83.62894235849213,5
GAT,default,graph,58.4,132.8224378634875,5
GAT,default,layer,53.0,120.74767078498864,5
GAT,default,none,3.4,9.838699100999074,5
GAT,default,pair,51.4,117.16996202098899,5
GAT,kaiming,batch,52.8,120.30045718948868,5
GAT,kaiming,graph,59.0,134.16407864998737,5
GAT,kaiming,layer,56.8,129.24472909948784,5
GAT,kaiming,none,5.0,13.416407864998739,5
GAT,kaiming,pair,33.0,76.02631123499285,5
GAT,xavier,batch,59.0,134.16407864998737,5
GAT,xavier,graph,58.2,132.37522426798756,5
GAT,xavier,layer,57.4,130.58636988598772,5
GAT,xavier,none,16.6,39.354796403996296,5
GAT,xavier,pair,36.8,84.52336954949205,5
GCN,default,batch,59.0,134.16407864998737,5
GCN,default,graph,58.6,133.26965145898745,5
GCN,default,layer,40.8,93.4676414594912,5
GCN,default,none,9.8,24.14953415699773,5
GCN,default,pair,0.0,2.2360679774997894,5
GCN,kaiming,batch,58.6,133.26965145898745,5
GCN,kaiming,graph,58.6,133.26965145898745,5
GCN,kaiming,layer,28.2,65.29318494299386,5
GCN,kaiming,none,14.8,35.32987404449668,5
GCN,kaiming,pair,0.0,2.2360679774997894,5
GCN,xavier,batch,58.6,133.26965145898745,5
GCN,xavier,graph,58.8,133.7168650544874,5
GCN,xavier,layer,28.6,66.18761213399378,5
GCN,xavier,none,14.8,35.32987404449668,5
GCN,xavier,pair,0.0,2.2360679774997894,5
SAGE,default,batch,56.4,128.35030190848792,5
SAGE,default,graph,59.0,134.16407864998737,5
SAGE,default,layer,59.0,134.16407864998737,5
SAGE,default,none,52.2,118.95881640298882,5
SAGE,default,pair,59.0,134.16407864998737,5
SAGE,kaiming,batch,59.0,134.16407864998737,5
SAGE,kaiming,graph,59.0,134.16407864998737,5
SAGE,kaiming,layer,59.0,134.16407864998737,5
SAGE,kaiming,none,43.2,98.83420460549071,5
SAGE,kaiming,pair,59.0,134.16407864998737,5
SAGE,xavier,batch,59.0,134.16407864998737,5
SAGE,xavier,graph,58.8,133.7168650544874,5
SAGE,xavier,layer,59.0,134.16407864998737,5
SAGE,xavier,none,49.6,113.14503966148938,5
SAGE,xavier,pair,59.0,134.16407864998737,5
