model,init,norm,mean,std,count
GAT,default,batch,0.031864383071660916,0.010623937385027189,5
GAT,default,graph,0.0591366790235042,0.05376642377665336,5
GAT,default,layer,0.0074987491825594995,0.016132444627196763,5
GAT,default,none,0.005793427210301101,0.004414189207881955,5
GAT,default,pair,0.0043603092897683,0.002586880606037645,5
GAT,kaiming,batch,0.0358010163530707,0.01908964200116161,5
GAT,kaiming,graph,0.04984697066247458,0.04805826751151759,5
GAT,kaiming,layer,0.00632354858098548,0.012468537626681186,5
GAT,kaiming,none,0.0032432956097181603,0.002061807392641425,5
GAT,kaiming,pair,0.0028693659929558196,0.0016412255799761876,5
GAT,xavier,batch,0.03449981082230802,0.01881279584371346,5
GAT,xavier,graph,0.04893965721130365,0.04807514060467116,5
GAT,xavier,layer,0.0061066565685904805,0.012741234084968796,5
GAT,xavier,none,0.0030750198580789803,0.0020093686858415755,5
GAT,xavier,pair,0.0031878676498308203,0.0017021823786201155,5
GCN,default,batch,0.0259383644908666,0.0037137707432181467,5
GCN,default,graph,0.0218379136174917,0.0018633979277668433,5
GCN,default,layer,0.00100720666814592,0.0001843401425952861,5
GCN,default,none,7.674021690035523e-05,2.2379007029977658e-05,5
GCN,default,pair,0.0007675055880099,0.00012674746478276555,5
GCN,kaiming,batch,0.0375343523919582,0.0013833662268938325,5
GCN,kaiming,graph,0.03334366157650942,0.0009782515108628651,5
GCN,kaiming,layer,0.000457760883728,8.016603488638327e-05,5
GCN,kaiming,none,7.30243424186483e-05,1.622205257267615e-05,5
GCN,kaiming,pair,0.0023878478910773398,0.0005546814119672712,5
GCN,xavier,batch,0.03619108498096464,0.002008749910732112,5
GCN,xavier,graph,0.03305160179734224,0.0010619135561263499,5
GCN,xavier,layer,0.00046421467559406,8.029024898325177e-05,5
GCN,xavier,none,7.301851292140782e-05,1.6254327873410067e-05,5
GCN,xavier,pair,0.0023412037407979,0.0005459919994872213,5
SAGE,default,batch,0.17644298970699307,0.022869584316579733,5
SAGE,default,graph,0.1805744349956512,0.02289750918861396,5
SAGE,default,layer,0.10291243195533747,0.020504860660340823,5
SAGE,default,none,0.13494856953620907,0.0327248717849832,5
SAGE,default,pair,0.0147651864215731,0.0020102688168452195,5
SAGE,kaiming,batch,0.24280523061752318,0.054972150130095605,5
SAGE,kaiming,graph,0.24178715050220484,0.050094448002821985,5
SAGE,kaiming,layer,0.13015302568674084,0.03146700794766085,5
SAGE,kaiming,none,0.13436653614044186,0.03173204022429353,5
SAGE,kaiming,pair,0.028956631198525363,0.005808622453156794,5
SAGE,xavier,batch,0.23999396860599517,0.05391811214020777,5
SAGE,xavier,graph,0.2392890334129333,0.051982183084576396,5
SAGE,xavier,layer,0.12998659312725064,0.031054922408041346,5
SAGE,xavier,none,0.13610140830278394,0.03148706024637938,5
SAGE,xavier,pair,0.02858089171349998,0.005659222875175516,5
