model,init,norm,mean,std,count
GAT,default,batch,0.6451990921404007,0.00832031705244961,5
GAT,default,graph,0.6440575834807956,0.007333168157298072,5
GAT,default,layer,0.6213987725491028,0.005199034386686029,5
GAT,default,none,0.6127994610071434,0.00608543423269867,5
GAT,default,pair,0.630428519654713,0.004353276597425084,5
GAT,kaiming,batch,0.6511377651227968,0.006025390011720453,5
GAT,kaiming,graph,0.6492586740061398,0.006346349316420173,5
GAT,kaiming,layer,0.6233318078415783,0.010678174696457212,5
GAT,kaiming,none,0.616305729689599,0.009737270127544623,5
GAT,kaiming,pair,0.6399695173855162,0.003744464760083247,5
GAT,xavier,batch,0.6512642462829434,0.0058418760676395695,5
GAT,xavier,graph,0.6518334259190786,0.006598980170604284,5
GAT,xavier,layer,0.6230002384780645,0.010951103017419838,5
GAT,xavier,none,0.6191158302472944,0.01273963778669245,5
GAT,xavier,pair,0.6396281592854578,0.0034792705584660018,5
GCN,default,batch,0.5737963063255191,0.029798901703490744,5
GCN,default,graph,0.5633850640482059,0.014547569201461484,5
GCN,default,layer,0.6091209921997347,0.008304960150930416,5
GCN,default,none,0.571330033006672,0.02083624430827401,5
GCN,default,pair,0.5813595395874709,0.009704916136691383,5
GCN,kaiming,batch,0.5641158214157918,0.032243460893808536,5
GCN,kaiming,graph,0.5568217979486396,0.03438061843580592,5
GCN,kaiming,layer,0.608671568169709,0.016275534071028056,5
GCN,kaiming,none,0.5775338544222883,0.01899185130345919,5
GCN,kaiming,pair,0.578550148318058,0.0075978172158417834,5
GCN,xavier,batch,0.5690040080396812,0.03688979684130171,5
GCN,xavier,graph,0.5549291270768523,0.029254807091348433,5
GCN,xavier,layer,0.6091044579652152,0.01672509123176467,5
GCN,xavier,none,0.5771164447637546,0.01749097756534282,5
GCN,xavier,pair,0.5799358818985203,0.007618794738877302,5
SAGE,default,batch,0.6548694869666448,0.006355779929189132,5
SAGE,default,graph,0.6552857563674297,0.0055825322805200545,5
SAGE,default,layer,0.6628243076242608,0.00365841099069942,5
SAGE,default,none,0.6614545186712661,0.0030913168082188033,5
SAGE,default,pair,0.6563895968262841,0.0021900331985415617,5
SAGE,kaiming,batch,0.6566616591854841,0.0074005562263009875,5
SAGE,kaiming,graph,0.6569578911129682,0.007322396204973522,5
SAGE,kaiming,layer,0.6628324899092968,0.005072827484248212,5
SAGE,kaiming,none,0.6537603038264013,0.004307540993740733,5
SAGE,kaiming,pair,0.6555369347036726,0.002403155113053869,5
SAGE,xavier,batch,0.6569873708745517,0.007471524935094948,5
SAGE,xavier,graph,0.6570855913330121,0.008253606952819315,5
SAGE,xavier,layer,0.6628988206665642,0.004777805098705045,5
SAGE,xavier,none,0.6545875424121136,0.00432420127219344,5
SAGE,xavier,pair,0.6556027405182593,0.002416952551723491,5
