model,init,norm,mean,std,count
GAT,default,batch,84.6,191.407418873982,5
GAT,default,graph,84.6,191.407418873982,5
GAT,default,layer,65.4,148.474913705986,5
GAT,default,none,98.6,222.71237055897905,5
GAT,default,pair,76.8,173.96608864948365,5
GAT,kaiming,batch,80.8,182.9103605594828,5
GAT,kaiming,graph,64.8,147.13327291948616,5
GAT,kaiming,layer,100.6,227.18450651397865,5
GAT,kaiming,none,65.0,147.58048651498612,5
GAT,kaiming,pair,58.8,133.7168650544874,5
GAT,xavier,batch,64.8,147.13327291948616,5
GAT,xavier,graph,72.6,164.57460314398452,5
GAT,xavier,layer,73.8,167.25788471698425,5
GAT,xavier,none,65.0,147.58048651498612,5
GAT,xavier,pair,58.8,133.7168650544874,5
GCN,default,batch,80.4,182.01593336848288,5
GCN,default,graph,66.6,151.15819527898577,5
GCN,default,layer,70.8,160.54968078448488,5
GCN,default,none,97.8,220.92351617697923,5
GCN,default,pair,85.6,193.64348685148178,5
GCN,kaiming,batch,80.4,182.01593336848288,5
GCN,kaiming,graph,66.6,151.15819527898577,5
GCN,kaiming,layer,67.6,153.39426325648557,5
GCN,kaiming,none,87.4,197.66840921098142,5
GCN,kaiming,pair,86.6,195.87955482898158,5
GCN,xavier,batch,80.4,182.01593336848288,5
GCN,xavier,graph,68.6,155.63033123398537,5
GCN,xavier,layer,63.4,144.00277775098647,5
GCN,xavier,none,87.4,197.66840921098142,5
GCN,xavier,pair,93.6,211.53203067148013,5
SAGE,default,batch,78.4,177.54379741348328,5
SAGE,default,graph,78.4,177.54379741348328,5
SAGE,default,layer,19.4,45.61578674099571,5
SAGE,default,none,31.0,71.55417527999326,5
SAGE,default,pair,78.0,176.64937022248338,5
SAGE,kaiming,batch,78.4,177.54379741348328,5
SAGE,kaiming,graph,78.4,177.54379741348328,5
SAGE,kaiming,layer,28.6,66.18761213399378,5
SAGE,kaiming,none,31.8,73.3430296619931,5
SAGE,kaiming,pair,78.2,177.09658381798334,5
SAGE,xavier,batch,78.4,177.54379741348328,5
SAGE,xavier,graph,78.4,177.54379741348328,5
SAGE,xavier,layer,28.8,66.63482572949373,5
SAGE,xavier,none,31.2,72.00138887549323,5
SAGE,xavier,pair,78.2,177.09658381798334,5
