model,init,norm,mean,std,count
GAT,default,batch,0.08454128503799437,0.00885501545823023,5
GAT,default,graph,0.09022221267223354,0.009039623078268423,5
GAT,default,layer,0.09689535796642298,0.008781093488686125,5
GAT,default,none,0.07206487506628032,0.005852499372719513,5
GAT,default,pair,0.061252190172672215,0.00652743399610627,5
GAT,kaiming,batch,0.09834791421890252,0.007663468270394378,5
GAT,kaiming,graph,0.10364845544099799,0.007859649626427708,5
GAT,kaiming,layer,0.10190051943063731,0.011012071362773936,5
GAT,kaiming,none,0.07845120280981059,0.009295659886193432,5
GAT,kaiming,pair,0.058778139948844864,0.0028783745895354916,5
GAT,xavier,batch,0.09813280105590819,0.007572807870801697,5
GAT,xavier,graph,0.10358446985483165,0.007836973754693815,5
GAT,xavier,layer,0.10194387286901467,0.010773117575606178,5
GAT,xavier,none,0.07826339602470393,0.009213181605140102,5
GAT,xavier,pair,0.05889453366398806,0.0027885180690013006,5
GCN,default,batch,0.07484542876482006,0.0035883953305990905,5
GCN,default,graph,0.07544217109680171,0.0036625463029065037,5
GCN,default,layer,0.07271339297294613,0.003476146357153008,5
GCN,default,none,0.0655776314437389,0.004074512926404064,5
GCN,default,pair,0.07259881496429439,0.006698006105640869,5
GCN,kaiming,batch,0.07878979742527004,0.003095348609969113,5
GCN,kaiming,graph,0.07980464994907376,0.00319880071487801,5
GCN,kaiming,layer,0.0805326700210571,0.005991144999628523,5
GCN,kaiming,none,0.06828398853540418,0.0034193629495206405,5
GCN,kaiming,pair,0.06951765269041056,0.003325033544667771,5
GCN,xavier,batch,0.07900893241167062,0.003148713737718754,5
GCN,xavier,graph,0.08000521212816233,0.00327084686357598,5
GCN,xavier,layer,0.08053101301193236,0.005726387152444343,5
GCN,xavier,none,0.06824891269206997,0.0033798718422665157,5
GCN,xavier,pair,0.06813018769025798,0.004028237795911842,5
SAGE,default,batch,0.24530388414859766,0.007957313041639814,5
SAGE,default,graph,0.24506079256534571,0.006697256439637513,5
SAGE,default,layer,0.24613606035709376,0.010274657188739506,5
SAGE,default,none,0.2274909526109695,0.007052760877499506,5
SAGE,default,pair,0.14166936278343195,0.004009327190983566,5
SAGE,kaiming,batch,0.2899154305458069,0.014471697324475803,5
SAGE,kaiming,graph,0.29005069136619566,0.01411282806107787,5
SAGE,kaiming,layer,0.3012932002544403,0.016655303539475756,5
SAGE,kaiming,none,0.2687621831893921,0.013404545174522315,5
SAGE,kaiming,pair,0.1438433736562729,0.0026203465103070128,5
SAGE,xavier,batch,0.289498370885849,0.014608528890228784,5
SAGE,xavier,graph,0.2896967470645905,0.013572757529465487,5
SAGE,xavier,layer,0.3003149092197418,0.017080882492370195,5
SAGE,xavier,none,0.26764838695526116,0.013947437981338106,5
SAGE,xavier,pair,0.14374137222766872,0.002669246973369192,5
