model,init,norm,mean,std,count
GAT,default,batch,0.2612202801098046,0.009613903485341867,5
GAT,default,graph,0.27028991542932207,0.010139295430325788,5
GAT,default,layer,0.22033499686368066,0.014017432344712324,5
GAT,default,none,0.2134915772327099,0.011258499826820792,5
GAT,default,pair,0.23126081290154782,0.007562299733206974,5
GAT,kaiming,batch,0.25544682546423925,0.01213214404588742,5
GAT,kaiming,graph,0.26265529350236827,0.011733540926515417,5
GAT,kaiming,layer,0.2307169840915042,0.015577802033426347,5
GAT,kaiming,none,0.21873628654767913,0.014140917085359557,5
GAT,kaiming,pair,0.23694245782425377,0.009928902734789342,5
GAT,xavier,batch,0.2554738314420727,0.012036156225146854,5
GAT,xavier,graph,0.26278096030671927,0.011773729932829168,5
GAT,xavier,layer,0.23050515906507424,0.01575173243249001,5
GAT,xavier,none,0.21810955120280812,0.013712979415309792,5
GAT,xavier,pair,0.23680863795017304,0.009867610533307368,5
GCN,default,batch,0.27005879375590547,0.010972036233977564,5
GCN,default,graph,0.2802860966328075,0.012171503303508942,5
GCN,default,layer,0.24281849339246583,0.02825197386443676,5
GCN,default,none,0.19662120311612147,0.011214425922903228,5
GCN,default,pair,0.23863447924905903,0.01084103750411649,5
GCN,kaiming,batch,0.2733189003972831,0.01125837009692218,5
GCN,kaiming,graph,0.2812054139637582,0.011086802632356027,5
GCN,kaiming,layer,0.24536946151360692,0.015905046798974507,5
GCN,kaiming,none,0.22745369202936133,0.0182115379861069,5
GCN,kaiming,pair,0.24073113863914863,0.013789715730787442,5
GCN,xavier,batch,0.27329307276166037,0.011183336695945543,5
GCN,xavier,graph,0.28120419709549616,0.011148084626637376,5
GCN,xavier,layer,0.24536637499725006,0.015996964946994142,5
GCN,xavier,none,0.22702788382079137,0.018021772177617343,5
GCN,xavier,pair,0.24052752147306905,0.013683957970917352,5
SAGE,default,batch,0.6413750796796631,0.014304054968433282,5
SAGE,default,graph,0.6485965680012917,0.01464762126245497,5
SAGE,default,layer,0.5789739648179817,0.018489598182012176,5
SAGE,default,none,0.4881381051959566,0.02008934539664077,5
SAGE,default,pair,0.5434277948264106,0.017035345196963352,5
SAGE,kaiming,batch,0.6274668708137543,0.009012708809572195,5
SAGE,kaiming,graph,0.6339763693423599,0.011584512698719207,5
SAGE,kaiming,layer,0.5664448640226921,0.028782147237154117,5
SAGE,kaiming,none,0.527203989614998,0.02163923971248364,5
SAGE,kaiming,pair,0.5570554173249713,0.017315492173061713,5
SAGE,xavier,batch,0.6278045071954242,0.008950181642261714,5
SAGE,xavier,graph,0.6342027586691732,0.011553994151555919,5
SAGE,xavier,layer,0.5677681966997262,0.028586430714254093,5
SAGE,xavier,none,0.5274112729891651,0.022027174898670007,5
SAGE,xavier,pair,0.556681129606406,0.017296868524170665,5
