model,init,norm,mean,std,count
GAT,default,batch,59.0,134.16407864998737,5
GAT,default,graph,59.0,134.16407864998737,5
GAT,default,layer,58.6,133.26965145898745,5
GAT,default,none,59.0,134.16407864998737,5
GAT,default,pair,59.0,134.16407864998737,5
GAT,kaiming,batch,59.0,134.16407864998737,5
GAT,kaiming,graph,58.0,131.9280106724876,5
GAT,kaiming,layer,58.6,133.26965145898745,5
GAT,kaiming,none,59.0,134.16407864998737,5
GAT,kaiming,pair,59.0,134.16407864998737,5
GAT,xavier,batch,59.0,134.16407864998737,5
GAT,xavier,graph,57.6,131.03358348148768,5
GAT,xavier,layer,58.6,133.26965145898745,5
GAT,xavier,none,59.0,134.16407864998737,5
GAT,xavier,pair,59.0,134.16407864998737,5
GCN,default,batch,59.0,134.16407864998737,5
GCN,default,graph,59.0,134.16407864998737,5
GCN,default,layer,59.0,134.16407864998737,5
GCN,default,none,59.0,134.16407864998737,5
GCN,default,pair,59.0,134.16407864998737,5
GCN,kaiming,batch,58.8,133.7168650544874,5
GCN,kaiming,graph,58.8,133.7168650544874,5
GCN,kaiming,layer,58.0,131.9280106724876,5
GCN,kaiming,none,59.0,134.16407864998737,5
GCN,kaiming,pair,59.0,134.16407864998737,5
GCN,xavier,batch,58.6,133.26965145898745,5
GCN,xavier,graph,58.8,133.7168650544874,5
GCN,xavier,layer,58.2,132.37522426798756,5
GCN,xavier,none,59.0,134.16407864998737,5
GCN,xavier,pair,59.0,134.16407864998737,5
SAGE,default,batch,59.0,134.16407864998737,5
SAGE,default,graph,59.0,134.16407864998737,5
SAGE,default,layer,59.0,134.16407864998737,5
SAGE,default,none,59.0,134.16407864998737,5
SAGE,default,pair,59.0,134.16407864998737,5
SAGE,kaiming,batch,59.0,134.16407864998737,5
SAGE,kaiming,graph,59.0,134.16407864998737,5
SAGE,kaiming,layer,59.0,134.16407864998737,5
SAGE,kaiming,none,59.0,134.16407864998737,5
SAGE,kaiming,pair,59.0,134.16407864998737,5
SAGE,xavier,batch,59.0,134.16407864998737,5
SAGE,xavier,graph,59.0,134.16407864998737,5
SAGE,xavier,layer,59.0,134.16407864998737,5
SAGE,xavier,none,59.0,134.16407864998737,5
SAGE,xavier,pair,59.0,134.16407864998737,5
