model,init,norm,mean,std,count
GAT,default,batch,0.01095305792987342,0.0018231615515098166,5
GAT,default,graph,0.01027050595730536,0.0014103099646594667,5
GAT,default,layer,0.00017875446646934,8.993511580499431e-05,5
GAT,default,none,6.82505444274284e-05,9.710786114342726e-06,5
GAT,default,pair,0.0006823610281571199,9.584099780517685e-05,5
GAT,kaiming,batch,0.01252382081001992,0.0014481227333932678,5
GAT,kaiming,graph,0.012561615742742959,0.0014606981813047805,5
GAT,kaiming,layer,0.00017030149174384002,4.1302990716260615e-05,5
GAT,kaiming,none,0.00013515761675074,3.106538149463699e-05,5
GAT,kaiming,pair,0.00217707648407664,0.00033013939192653915,5
GAT,xavier,batch,0.01251519136130804,0.0014527954478441858,5
GAT,xavier,graph,0.01252301558852192,0.0014636233330709812,5
GAT,xavier,layer,0.00017090456385624,4.1853462787402354e-05,5
GAT,xavier,none,0.00013415912835622,3.0704592789061107e-05,5
GAT,xavier,pair,0.00213322318159038,0.00032472887556835484,5
GCN,default,batch,0.01628369409590956,0.0018425495179478643,5
GCN,default,graph,0.01730719283223146,0.0016362788619459759,5
GCN,default,layer,0.00052193079900458,0.000478692840629384,5
GCN,default,none,8.7164559954528e-05,1.9611654232298767e-05,5
GCN,default,pair,0.0011596682714298,0.00013139217045224708,5
GCN,kaiming,batch,0.020967117697000458,0.0019887033975824,5
GCN,kaiming,graph,0.02221698909997936,0.0030451753017608327,5
GCN,kaiming,layer,0.00026471320306876,7.710732581921078e-05,5
GCN,kaiming,none,0.00018857899121936002,5.8835145785093424e-05,5
GCN,kaiming,pair,0.0035726530477403996,0.0004123170968997325,5
GCN,xavier,batch,0.02087963186204428,0.0020815090567971374,5
GCN,xavier,graph,0.0221700888127088,0.003042430993473066,5
GCN,xavier,layer,0.00026661182055244,7.821882709094691e-05,5
GCN,xavier,none,0.00018613786378406,5.604701921297683e-05,5
GCN,xavier,pair,0.00350008504465218,0.0004032087806211731,5
SAGE,default,batch,0.354070496559143,0.013168510513846658,5
SAGE,default,graph,0.30950509905815127,0.018111166661865158,5
SAGE,default,layer,0.20709182322025294,0.026475109205004083,5
SAGE,default,none,0.09338648468255992,0.008191597997486743,5
SAGE,default,pair,0.16060911417007445,0.020702214218618606,5
SAGE,kaiming,batch,0.37123051285743713,0.03258122316552216,5
SAGE,kaiming,graph,0.359064781665802,0.032109825568044925,5
SAGE,kaiming,layer,0.09401562660932536,0.03590740366157949,5
SAGE,kaiming,none,0.07870168834924694,0.01477481707746304,5
SAGE,kaiming,pair,0.16685179769992825,0.008419742056593954,5
SAGE,xavier,batch,0.37089635729789733,0.03261422795076923,5
SAGE,xavier,graph,0.35825698375701903,0.03207162681279648,5
SAGE,xavier,layer,0.09581244885921474,0.036857645681850244,5
SAGE,xavier,none,0.0791469663381576,0.014997334757514889,5
SAGE,xavier,pair,0.166963455080986,0.008316447303550217,5
