dataset,model,init,norm,mean,delta,t_pvalue,wilcoxon_pvalue,significant_05
amazon,GCN,default,none,0.2719997299123886,-0.08985425493349315,2.558319866217486e-05,0.0625,True
amazon,GCN,default,batch,0.36185398484588177,0.0,1.0,1.0,False
amazon,GCN,default,layer,0.2417953237859404,-0.12005866105994131,8.330739838354278e-06,0.0625,True
amazon,GCN,default,graph,0.3587248268091904,-0.0031291580366913595,0.4386017293736115,0.4375,False
amazon,GCN,default,pair,0.27388462814574105,-0.08796935670014072,2.931535924886362e-05,0.0625,True
amazon,GCN,xavier,none,0.2819312263649486,-0.07992275848093314,0.00010902581405826778,0.0625,True
amazon,GCN,xavier,batch,0.38139368357574277,0.019539698729861034,0.15016851102909298,0.3125,False
amazon,GCN,xavier,layer,0.24442606700981603,-0.1174279178360657,6.28484355574762e-06,0.0625,True
amazon,GCN,xavier,graph,0.3808451296702756,0.018991144824393867,0.1513233409087564,0.1875,False
amazon,GCN,xavier,pair,0.2744619507974963,-0.08739203404838544,2.433897619880555e-05,0.0625,True
amazon,GCN,kaiming,none,0.2828718778668241,-0.07898210697905762,0.00015699484388058852,0.0625,True
amazon,GCN,kaiming,batch,0.38000445629176854,0.018150471445886794,0.15902046210554424,0.1875,False
amazon,GCN,kaiming,layer,0.2444179597992783,-0.11743602504660344,6.005282327929842e-06,0.0625,True
amazon,GCN,kaiming,graph,0.3814343291050366,0.01958034425915487,0.14651536861088132,0.1875,False
amazon,GCN,kaiming,pair,0.27443301518218777,-0.08742096966369396,2.5925272975051417e-05,0.0625,True
amazon,GAT,default,none,0.24757472464528565,-0.23286415292851187,0.007975733724588282,0.0625,True
amazon,GAT,default,batch,0.48043887757379744,0.0,1.0,1.0,False
amazon,GAT,default,layer,0.31692531072565056,-0.163513566848147,0.02938308436038356,0.0625,True
amazon,GAT,default,graph,0.4746738072224469,-0.005765070351350654,0.8683808582037261,0.8125,False
amazon,GAT,default,pair,0.16985834563288355,-0.31058053194091395,0.011479663992272971,0.0625,True
amazon,GAT,xavier,none,0.20013139845136857,-0.2803074791224289,0.0041688146419686795,0.0625,True
amazon,GAT,xavier,batch,0.5228472265969748,0.04240834902317723,0.4167324297952323,0.4375,False
amazon,GAT,xavier,layer,0.3229380344291535,-0.1575008431446441,0.030525586304639564,0.0625,True
amazon,GAT,xavier,graph,0.5455415336648743,0.06510265609107684,0.30242536644173756,0.4375,False
amazon,GAT,xavier,pair,0.20779137049011095,-0.2726475070836865,0.009207328000539031,0.0625,True
amazon,GAT,kaiming,none,0.20031116348380468,-0.2801277140899928,0.004584407409826544,0.0625,True
amazon,GAT,kaiming,batch,0.5267458887643538,0.0463070111905563,0.41193225915683485,0.4375,False
amazon,GAT,kaiming,layer,0.3414943793666927,-0.1389444982071048,0.07431026842323112,0.125,False
amazon,GAT,kaiming,graph,0.5326458155914243,0.052206938017626735,0.39134776038786184,0.625,False
amazon,GAT,kaiming,pair,0.21003170506709345,-0.27040717250670404,0.009636690441355471,0.0625,True
amazon,SAGE,default,none,0.7506540692653312,-0.11920642089960024,0.05530430609025769,0.0625,False
amazon,SAGE,default,batch,0.8698604901649315,0.0,1.0,1.0,False
amazon,SAGE,default,layer,0.8447791685244175,-0.02508132164051389,0.003791804171989577,0.0625,True
amazon,SAGE,default,graph,0.8712303784977454,0.0013698883328140399,0.35477297336701036,0.4375,False
amazon,SAGE,default,pair,0.32378607368404866,-0.5460744164808826,1.538075375479735e-05,0.0625,True
amazon,SAGE,xavier,none,0.7661196139835251,-0.10374087618140629,0.13909601099218136,0.0625,False
amazon,SAGE,xavier,batch,0.8692515463830764,-0.0006089437818550536,0.6930156119979014,1.0,False
amazon,SAGE,xavier,layer,0.8484950609164666,-0.02136542924846461,0.0011214471261354344,0.0625,True
amazon,SAGE,xavier,graph,0.8712006559383216,0.001340165773390156,0.6058855843826325,1.0,False
amazon,SAGE,xavier,pair,0.355468383340065,-0.5143921068248665,2.6531432575831408e-05,0.0625,True
amazon,SAGE,kaiming,none,0.8143606212410284,-0.05549986892390306,0.0003117541268138394,0.0625,True
amazon,SAGE,kaiming,batch,0.8696644132692104,-0.00019607689572100905,0.8931653860593785,0.625,False
amazon,SAGE,kaiming,layer,0.8486503802844828,-0.02121010988044858,0.0006682252840783711,0.0625,True
amazon,SAGE,kaiming,graph,0.8717448381442743,0.0018843479793429375,0.41386077725679715,0.4375,False
amazon,SAGE,kaiming,pair,0.356880000035238,-0.5129804901296934,2.6468700726685496e-05,0.0625,True
