dataset,model,init,norm,mean,delta,t_pvalue,wilcoxon_pvalue,significant_05
elliptic,GCN,default,none,0.571330033006672,-0.002466273318847345,0.622574016049513,0.4375,False
elliptic,GCN,default,batch,0.5737963063255191,0.0,1.0,1.0,False
elliptic,GCN,default,layer,0.6091209921997347,0.035324685874215514,0.06587280892795759,0.0625,False
elliptic,GCN,default,graph,0.563385064048206,-0.010411242277313293,0.21413878338202244,0.1875,False
elliptic,GCN,default,pair,0.5813595395874709,0.007563233261951652,0.6661923022675131,0.625,False
elliptic,GCN,xavier,none,0.5771164447637546,0.003320138438235265,0.7378137259258983,0.8125,False
elliptic,GCN,xavier,batch,0.5690040080396811,-0.004792298285838071,0.6886451699026415,1.0,False
elliptic,GCN,xavier,layer,0.6091044579652151,0.035308151639695876,0.08425797789130073,0.125,False
elliptic,GCN,xavier,graph,0.5549291270768523,-0.018867179248666988,0.14768962249245643,0.1875,False
elliptic,GCN,xavier,pair,0.5799358818985203,0.006139575573001021,0.6706760836321299,1.0,False
elliptic,GCN,kaiming,none,0.5775338544222883,0.0037375480967690943,0.6856263838169032,0.625,False
elliptic,GCN,kaiming,batch,0.5641158214157918,-0.009680484909727439,0.3332413819808428,0.3125,False
elliptic,GCN,kaiming,layer,0.608671568169709,0.03487526184418972,0.09006735194824278,0.125,False
elliptic,GCN,kaiming,graph,0.5568217979486395,-0.016974508376879683,0.19446691917420966,0.1875,False
elliptic,GCN,kaiming,pair,0.578550148318058,0.0047538419925387656,0.7373541518155389,0.8125,False
elliptic,GAT,default,none,0.6127994610071434,-0.03239963113325732,0.00030321420074344254,0.0625,True
elliptic,GAT,default,batch,0.6451990921404008,0.0,1.0,1.0,False
elliptic,GAT,default,layer,0.6213987725491028,-0.023800319591298025,0.0055243111546953464,0.0625,True
elliptic,GAT,default,graph,0.6440575834807956,-0.0011415086596052281,0.12101227493366616,0.0625,False
elliptic,GAT,default,pair,0.630428519654713,-0.014770572485687717,0.016969878535081282,0.0625,True
elliptic,GAT,xavier,none,0.6191158302472944,-0.026083261893106325,0.020296885129074967,0.0625,True
elliptic,GAT,xavier,batch,0.6512642462829434,0.006065154142542694,0.22136427525981903,0.3125,False
elliptic,GAT,xavier,layer,0.6230002384780645,-0.02219885366233627,0.05065334344127938,0.125,False
elliptic,GAT,xavier,graph,0.6518334259190786,0.006634333778677748,0.2945980440278107,0.625,False
elliptic,GAT,xavier,pair,0.6396281592854578,-0.005570932854943034,0.2549813030123936,0.1875,False
elliptic,GAT,kaiming,none,0.616305729689599,-0.028893362450801784,0.006964575440845359,0.0625,True
elliptic,GAT,kaiming,batch,0.6511377651227969,0.005938672982396032,0.23876672328740456,0.3125,False
elliptic,GAT,kaiming,layer,0.6233318078415784,-0.021867284298822454,0.0505812536238957,0.125,False
elliptic,GAT,kaiming,graph,0.6492586740061398,0.0040595818657390035,0.41935625739516413,0.8125,False
elliptic,GAT,kaiming,pair,0.6399695173855162,-0.00522957475488448,0.3089824069966344,0.4375,False
elliptic,SAGE,default,none,0.6614545186712661,0.006585031704621258,0.11754461678490453,0.125,False
elliptic,SAGE,default,batch,0.6548694869666448,0.0,1.0,1.0,False
elliptic,SAGE,default,layer,0.6628243076242608,0.007954820657616036,0.02538576942450163,0.0625,True
elliptic,SAGE,default,graph,0.6552857563674297,0.0004162694007848522,0.4260749855047297,0.4375,False
elliptic,SAGE,default,pair,0.6563895968262841,0.001520109859639196,0.6776675142805038,1.0,False
elliptic,SAGE,xavier,none,0.6545875424121135,-0.0002819445545312327,0.9511869427285525,1.0,False
elliptic,SAGE,xavier,batch,0.6569873708745517,0.0021178839079068366,0.4549330391896306,0.4375,False
elliptic,SAGE,xavier,layer,0.6628988206665642,0.00802933369991945,0.02852927967835816,0.0625,True
elliptic,SAGE,xavier,graph,0.6570855913330123,0.002216104366367366,0.42262439952068326,0.4375,False
elliptic,SAGE,xavier,pair,0.6556027405182592,0.0007332535516144211,0.7893045613203279,0.8125,False
elliptic,SAGE,kaiming,none,0.6537603038264013,-0.001109183140243597,0.7997167457180728,0.8125,False
elliptic,SAGE,kaiming,batch,0.6566616591854841,0.0017921722188392942,0.511293746347261,0.625,False
elliptic,SAGE,kaiming,layer,0.6628324899092969,0.00796300294265202,0.03656108071504223,0.0625,True
elliptic,SAGE,kaiming,graph,0.6569578911129683,0.002088404146323386,0.4066778594287071,0.4375,False
elliptic,SAGE,kaiming,pair,0.6555369347036726,0.0006674477370277154,0.8171918495948518,0.8125,False
