dataset,relation,mean_degree,n_nodes,n_edges,model,norm,init,seed,layers,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rur,2.15,45954,98630,GCN,none,default,1,2,0.8547948972218494,0.5413031091282795,6.2137841538856264e-09,0.13559740781784058,2.4,0.85561311811227,0.004637134527064135,0.5429113001677873,0.012467903749369676,0.4769503546099291,0.5847826086956521,0.4026946107784431,0.11204481792717087,0.8695652173913043,0.059880239520958084,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,none,default,2,2,0.8624440909423515,0.5380008659219697,4.541873988017642e-09,0.14047835767269135,2.1,0.8621763802956594,0.004610487937819028,0.5365009401920348,0.01453642997948465,0.4725177304964539,0.5793478260869566,0.39895209580838326,0.10644257703081232,0.8260869565217391,0.05688622754491018,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rur,2.15,45954,98630,GCN,none,default,3,2,0.8489435493829043,0.5313859875359503,2.0116568411054914e-09,0.1600627601146698,2.1,0.8491775260618364,0.004994961819320863,0.5336838573131117,0.012035240806398208,0.4654255319148936,0.5706521739130435,0.3929640718562874,0.10784313725490197,0.8369565217391305,0.05763473053892216,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,layer,default,1,2,0.8880496390111833,0.605993809000105,5.191564511619617e-09,0.38202914595603943,2.3,0.8887518476619788,0.003872754282163599,0.6077167858668272,0.012438290814735815,0.5230496453900709,0.6413043478260869,0.4416167664670659,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,layer,default,2,2,0.8897115710025977,0.5989219592201193,2.253055519929603e-09,0.337623655796051,2.3,0.8894878796153393,0.003962213363093234,0.5966912841998091,0.01519780612028748,0.5186170212765957,0.6358695652173914,0.437874251497006,0.11624649859943978,0.9021739130434783,0.06212574850299401,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,layer,default,3,2,0.8777217078063831,0.586000606000343,2.7537345737016494e-09,0.3778718113899231,2.3,0.877774347550487,0.004330702599272874,0.5875274335710453,0.011869308013319946,0.5053191489361702,0.6195652173913043,0.42664670658682635,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,graph,default,1,2,0.8939614406624633,0.6379502082243426,2.0831822933331523e-09,0.5025539994239807,3.8,0.8945755833377046,0.004206793432553275,0.6391065794444177,0.012664593583189356,0.5629432624113475,0.6902173913043478,0.4752994011976048,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,graph,default,2,2,0.8990985379038257,0.6603821690885874,6.207823588511019e-09,0.43513405323028564,3.8,0.8988429318633949,0.004153416975201684,0.6575442619004868,0.01465442029081906,0.5691489361702128,0.6978260869565217,0.4805389221556886,0.12184873949579832,0.9456521739130435,0.06511976047904192,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GCN,graph,default,3,2,0.8859828713245607,0.6189897401517755,-5.394220625731805e-10,0.4445856511592865,3.8,0.8859013567019943,0.004256711173551929,0.6208046502526314,0.012537556151011145,0.5443262411347518,0.6673913043478261,0.4595808383233533,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,none,default,1,2,0.8671118017275022,0.5525419456431337,4.3064356525235326e-09,0.1872776448726654,3.8,0.8679491490761623,0.004365232224730612,0.5542950119627628,0.01250404758332987,0.47074468085106386,0.5771739130434783,0.39745508982035926,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,none,default,2,2,0.8706068800535386,0.5432201901096383,5.337596142851453e-09,0.15644514560699463,3.8,0.8703514512271923,0.004364739266570422,0.5414978984402593,0.014551966522947248,0.4716312056737589,0.5782608695652174,0.39820359281437123,0.10504201680672269,0.8152173913043478,0.0561377245508982,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rur,2.15,45954,98630,GAT,none,default,3,2,0.8571141036409868,0.5372774467240644,3.123283409678379e-09,0.1321900188922882,3.8,0.8573570255227331,0.0046830381287532846,0.5393044239755468,0.011694455041788147,0.46365248226950356,0.5684782608695652,0.39146706586826346,0.11204481792717087,0.8695652173913043,0.059880239520958084,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,layer,default,1,2,0.8597447734368331,0.5340731879665501,4.354119287341973e-09,0.21502798795700073,4.0,0.8604550950976197,0.004615000489167506,0.5354610639495229,0.01272766828530589,0.45656028368794327,0.5597826086956522,0.38547904191616766,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,layer,default,2,2,0.8771841500298793,0.5586982301553782,3.3140181709967464e-09,0.2455519437789917,4.0,0.8768806230556966,0.004110084656743225,0.5572833324631274,0.01477177371010322,0.48226950354609927,0.591304347826087,0.40718562874251496,0.10784313725490197,0.8369565217391305,0.05763473053892216,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,layer,default,3,2,0.867456278888252,0.5528531674456945,7.748603841895019e-11,0.24287642538547516,4.0,0.8675684213364534,0.004244575874048093,0.5549459200418156,0.011280486778107342,0.4778368794326241,0.5858695652173913,0.40344311377245506,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rur,2.15,45954,98630,GAT,graph,default,1,2,0.8806960925399709,0.5995413046534225,4.315376500585444e-09,0.6234456300735474,5.5,0.8813810598049743,0.004469602393499878,0.6008404100214404,0.013304945575466473,0.5310283687943262,0.6510869565217391,0.44835329341317365,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,graph,default,2,2,0.8893414640931985,0.6188517054917859,2.6404858299855505e-09,0.5854236483573914,5.5,0.8890752823863863,0.004249302472479888,0.6162177904769985,0.014148182762510675,0.5274822695035462,0.6467391304347826,0.4453592814371258,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,GAT,graph,default,3,2,0.8759139530257205,0.5938384598872879,6.234645688607543e-09,0.5030290484428406,5.5,0.876009110448776,0.004338338319523205,0.5958909406993448,0.012451280856097013,0.5186170212765957,0.6358695652173914,0.437874251497006,0.1134453781512605,0.8804347826086957,0.06062874251497006,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,none,default,1,2,0.8760105171530665,0.5614592465187782,0.01518996711820364,0.2542542517185211,1.5,0.8765326138431909,0.00448844559564101,0.5630542923114388,0.013005020840171917,0.4929078014184397,0.6043478260869565,0.4161676646706587,0.1134453781512605,0.8804347826086957,0.06062874251497006,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rur,2.15,45954,98630,SAGE,none,default,2,2,0.888916000737832,0.6001485391353427,0.014933984726667404,0.25774624943733215,1.5,0.8888120215941447,0.0043549087054035734,0.598018641744511,0.014147369761775526,0.5106382978723404,0.6260869565217392,0.4311377245508982,0.11624649859943978,0.9021739130434783,0.06212574850299401,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,none,default,3,2,0.8664357575582032,0.5469073139869185,0.013885285705327988,0.2329210489988327,1.5,0.86657167913354,0.004297437718631485,0.5488366387956942,0.011849118539701062,0.46897163120567376,0.575,0.39595808383233533,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rur,2.15,45954,98630,SAGE,layer,default,1,2,0.8960122969437905,0.6125760384577936,0.04850301146507263,0.40609925985336304,1.7,0.8966566974928899,0.003968166701269841,0.6141373486412306,0.012626987830043655,0.5416666666666666,0.6641304347826087,0.4573353293413174,0.10644257703081232,0.8260869565217391,0.05688622754491018,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,layer,default,2,2,0.9068654950790883,0.6562587448122879,0.060688432306051254,0.41796448826789856,1.7,0.9066152935271802,0.0039319337331596834,0.6534041472910367,0.014072979179367395,0.5762411347517731,0.7065217391304348,0.4865269461077844,0.12044817927170869,0.9347826086956522,0.06437125748502993,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,layer,default,3,2,0.8869191193732697,0.6004334508912736,0.05211674049496651,0.36564183235168457,1.8,0.8868817029137053,0.003824847061395909,0.6019713944751071,0.011834932535345956,0.524822695035461,0.6434782608695652,0.4431137724550898,0.12184873949579832,0.9456521739130435,0.06511976047904192,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,graph,default,1,2,0.9055437051050649,0.6437617133463724,0.1040775403380394,0.46326929330825806,3.2,0.9061898847089326,0.004128269658511719,0.6457334288352028,0.013470213316200526,0.5540780141843972,0.6793478260869565,0.46781437125748504,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rur,2.15,45954,98630,SAGE,graph,default,2,2,0.9085952649182287,0.6688990108367412,0.09717157483100891,0.4695928990840912,3.2,0.908305181523852,0.0038519730397275657,0.66632788414024,0.01356111591179093,0.5726950354609929,0.7021739130434783,0.48353293413173654,0.12464985994397759,0.967391304347826,0.06661676646706587,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rur,2.15,45954,98630,SAGE,graph,default,3,2,0.8946666398618242,0.6288052134756876,0.0870107039809227,0.47334519028663635,3.2,0.8947233821404251,0.0037018039619046528,0.630858777225179,0.012175768292770837,0.5390070921985816,0.6608695652173913,0.4550898203592814,0.11904761904761904,0.9239130434782609,0.06362275449101797,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,GCN,none,default,1,2,0.5706172462864496,0.18585221677112723,0.00021083929459564388,0.011748872697353363,11.1,0.5709333326127891,0.008673508203747383,0.1872136567971228,0.008689259232681115,0.1675531914893617,0.20543478260869566,0.14146706586826346,0.046218487394957986,0.358695652173913,0.02470059880239521,0.004457652303120356,0.3,0.002245508982035928
yelp,net_rtr,24.96,45954,1147232,GCN,none,default,2,2,0.5629793906331939,0.18579285315049,0.00027749326545745134,0.014621146023273468,11.2,0.5625131349940236,0.008435643397614581,0.18458478505769085,0.007255640099962382,0.17279574656623836,0.21172638436482086,0.14595808383233533,0.04058782365290413,0.3118279569892473,0.021706586826347306,0.010401188707280832,0.7,0.005239520958083832
yelp,net_rtr,24.96,45954,1147232,GCN,none,default,3,2,0.6014337795894972,0.2164726348074766,0.0003049698716495186,0.015184683725237846,11.2,0.6024199491630567,0.007543739012556519,0.2180981048089533,0.008876110026430628,0.21631205673758866,0.26521739130434785,0.18263473053892215,0.05182072829131653,0.40217391304347827,0.027694610778443114,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rtr,24.96,45954,1147232,GCN,layer,default,1,2,0.5849844354061734,0.19975239195267894,0.0004606467846315354,0.025122148916125298,11.4,0.5850687632356107,0.008654374451701122,0.20116028488642482,0.009512533913081257,0.1896322552060257,0.23235613463626492,0.1601796407185629,0.05042016806722689,0.391304347826087,0.02694610778443114,0.005943536404160475,0.4,0.0029940119760479044
yelp,net_rtr,24.96,45954,1147232,GCN,layer,default,2,2,0.5894624003012305,0.20541109777515146,0.0007431760895997286,0.040098026394844055,11.4,0.5885243070912365,0.008572704945157246,0.20421068213106316,0.008562380226928954,0.19414893617021275,0.23804347826086958,0.16392215568862276,0.056022408963585436,0.43478260869565216,0.029940119760479042,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rtr,24.96,45954,1147232,GCN,layer,default,3,2,0.6121220517214045,0.23384995656079027,0.0006637620972469449,0.03445816412568092,11.4,0.6125800909846263,0.007206632829569666,0.23511095571658672,0.010181555650046751,0.2429078014184397,0.29782608695652174,0.20508982035928144,0.06022408963585434,0.4673913043478261,0.03218562874251497,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rtr,24.96,45954,1147232,GCN,graph,default,1,2,0.6209140559258266,0.23587757664607698,0.021172914654016495,0.42659828066825867,12.9,0.6211123338662526,0.007745451493596408,0.2378300463212453,0.011032993393631892,0.24113475177304963,0.2956521739130435,0.20359281437125748,0.06162464985994398,0.4782608695652174,0.03293413173652695,0.005943536404160475,0.4,0.0029940119760479044
