dataset,model,norm,init,seed,layers,mean_degree,n_nodes,saturation,auc,auprc,mad,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9,mad_random
elliptic,GCN,none,default,1,1,2.3,203769,1.1e-05,0.7811806107092345,0.1992570900613788,0.22712810337543488,9.1,0.7827623336786583,0.010215440719358362,0.20205416721699546,0.011989226732414779,0.3282051282051282,0.257372654155496,0.4528301886792453,0.045454545454545456,0.15178571428571427,0.026729559748427674,0.0030864197530864196,0.08333333333333333,0.0015723270440251573,
elliptic,GCN,none,default,2,1,2.3,203769,1.1e-05,0.7846668449472074,0.206749757410317,0.23248161375522614,8.7,0.7834594405245383,0.008728482693849125,0.20727944805899995,0.012295126125189265,0.3316239316239316,0.26005361930294907,0.45754716981132076,0.058823529411764705,0.19642857142857142,0.03459119496855346,0.0030864197530864196,0.08333333333333333,0.0015723270440251573,
elliptic,GCN,none,default,3,1,2.3,203769,1.1e-05,0.7848244801244029,0.20181861529687795,0.21938171982765198,8.7,0.7854461723791819,0.009436102739543328,0.20465236000136236,0.01399115608499125,0.33276353276353277,0.2609472743521001,0.4591194968553459,0.0481283422459893,0.16071428571428573,0.02830188679245283,0.0030864197530864196,0.08333333333333333,0.0015723270440251573,
yelp,GCN,none,default,1,1,167.43,45954,0.003643,0.5657474511262608,0.18608206332665,0.00023612339282408357,23.3,0.5668190463888955,0.00795607205386157,0.18714073610397017,0.007861927826245538,0.19592198581560283,0.24021739130434783,0.16541916167664672,0.04201680672268908,0.32608695652173914,0.02245508982035928,0.0014858841010401188,0.1,0.0007485029940119761,0.009306339547038078
yelp,GCN,none,default,2,1,167.43,45954,0.003643,0.560777518918375,0.1862638129110956,0.00030407277517952025,22.6,0.5602198996245995,0.009360556260667625,0.18624626990220794,0.007915983250035688,0.19326241134751773,0.23695652173913043,0.1631736526946108,0.03221288515406162,0.25,0.01721556886227545,0.0014858841010401188,0.1,0.0007485029940119761,0.013076764531433582
yelp,GCN,none,default,3,1,167.43,45954,0.003643,0.5741251871257484,0.18580830605757218,0.00030368161969818175,22.6,0.5729396690112893,0.00883052369079347,0.18639254997935378,0.006780567259535667,0.18351063829787234,0.225,0.15494011976047903,0.03081232492997199,0.2391304347826087,0.016467065868263474,0.0014858841010401188,0.1,0.0007485029940119761,0.011688032187521458
yelp,GCN,graph,default,1,1,167.43,45954,0.003643,0.5657469747368806,0.18608610030270575,0.0002361226361244917,22.6,0.5668187290444625,0.0079561643774867,0.18714499091823278,0.007862583833364741,0.19592198581560283,0.24021739130434783,0.16541916167664672,0.04201680672268908,0.32608695652173914,0.02245508982035928,0.0014858841010401188,0.1,0.0007485029940119761,0.009306339547038078
yelp,GCN,graph,default,2,1,167.43,45954,0.003643,0.5607771378068709,0.18627408172367121,0.0003040722804144025,22.6,0.5602193059849312,0.009360640927923368,0.18625678118382413,0.00791740823805156,0.19326241134751773,0.23695652173913043,0.1631736526946108,0.03221288515406162,0.25,0.01721556886227545,0.0014858841010401188,0.1,0.0007485029940119761,0.013076763600111008
yelp,GCN,graph,default,3,1,167.43,45954,0.003643,0.5741235674018561,0.18581439703266567,0.0003036827838514,22.6,0.5729379922438071,0.00883066648369737,0.18639827338043205,0.006781209989109791,0.18351063829787234,0.225,0.15494011976047903,0.03081232492997199,0.2391304347826087,0.016467065868263474,0.0014858841010401188,0.1,0.0007485029940119761,0.011688032187521458
yelp,GAT,none,default,1,1,167.43,45954,0.003643,0.585011446684025,0.18841564091666357,0.0003470268566161394,36.6,0.5862134632701216,0.008162730433126215,0.1907899308151067,0.009583014303327904,0.16578014184397163,0.20326086956521738,0.13997005988023953,0.03221288515406162,0.25,0.01721556886227545,0.007429420505200594,0.5,0.0037425149700598802,0.011712520383298397
yelp,GAT,none,default,2,1,167.43,45954,0.003643,0.5658887482163981,0.17765718001452696,0.0003414166276343167,36.6,0.5661522661380516,0.00839791604611445,0.1774250165656796,0.006738896488246677,0.16046099290780141,0.1967391304347826,0.13547904191616766,0.03081232492997199,0.2391304347826087,0.016467065868263474,0.008915304606240713,0.6,0.004491017964071856,0.01482459343969822
yelp,GAT,none,default,3,1,167.43,45954,0.003643,0.5226285908325914,0.1585050739246364,0.00024527349160052836,36.6,0.5219651647446237,0.008451118291434528,0.15899045958564068,0.005429764641260905,0.14893617021276595,0.1826086956521739,0.12574850299401197,0.015406162464985995,0.11956521739130435,0.008233532934131737,0.0029717682020802376,0.2,0.0014970059880239522,0.009445142932236195
yelp,GAT,graph,default,1,1,167.43,45954,0.003643,0.5850138762698636,0.18841576134172539,0.0003470155061222613,36.7,0.5862158325077255,0.008162702688504823,0.19078982409992729,0.009582885975051546,0.16578014184397163,0.20326086956521738,0.13997005988023953,0.03221288515406162,0.25,0.01721556886227545,0.007429420505200594,0.5,0.0037425149700598802,0.011712352745234966
yelp,GAT,graph,default,2,1,167.43,45954,0.003643,0.5658852229349854,0.1776566772191584,0.0003414177626837045,36.7,0.5661485003681923,0.00839822939032681,0.1774244977993465,0.006738998715770184,0.16046099290780141,0.1967391304347826,0.13547904191616766,0.03081232492997199,0.2391304347826087,0.016467065868263474,0.008915304606240713,0.6,0.004491017964071856,0.014824575744569302
yelp,GAT,graph,default,3,1,167.43,45954,0.003643,0.5226290672219716,0.15855207391332055,0.00024527349160052836,36.7,0.5219655447141968,0.00845113123811351,0.1590231509448799,0.0054257419803453895,0.14893617021276595,0.1826086956521739,0.12574850299401197,0.015406162464985995,0.11956521739130435,0.008233532934131737,0.002969561989606533,0.18181818181818182,0.0014970059880239522,0.00944514200091362
yelp,SAGE,none,default,1,1,167.43,45954,0.003643,0.7413079899264606,0.32953921203907793,0.059973206371068954,4.6,0.7413114633746565,0.006980207395470488,0.33015909593769005,0.011501456997377472,0.3147163120567376,0.3858695652173913,0.2657185628742515,0.07142857142857142,0.5543478260869565,0.03817365269461078,0.010401188707280832,0.7,0.005239520958083832,0.06689081341028214
yelp,SAGE,none,default,2,1,167.43,45954,0.003643,0.7563659436473285,0.35218800867420924,0.09501298516988754,4.6,0.7561784119663001,0.006234860391523456,0.3517526444033039,0.011441560499309555,0.32269503546099293,0.39565217391304347,0.27245508982035926,0.08263305322128851,0.6413043478260869,0.04416167664670659,0.01188707280832095,0.8,0.005988023952095809,0.10497216880321503
yelp,SAGE,none,default,3,1,167.43,45954,0.003643,0.7428100932808518,0.35032587163486684,0.10945191979408264,4.6,0.7439939614070811,0.0063184973718074765,0.3534101455901199,0.012600722866299815,0.3333333333333333,0.40869565217391307,0.281437125748503,0.08403361344537816,0.6521739130434783,0.04491017964071856,0.010401188707280832,0.7,0.005239520958083832,0.12278053164482117
yelp,SAGE,graph,default,1,1,167.43,45954,0.003643,0.7413082757600887,0.3295404325273907,0.05997321009635925,4.6,0.7413117635549569,0.00698020786981116,0.33016051625245524,0.011501654644868147,0.3147163120567376,0.3858695652173913,0.2657185628742515,0.07142857142857142,0.5543478260869565,0.03817365269461078,0.010401188707280832,0.7,0.005239520958083832,0.06689081341028214
yelp,SAGE,graph,default,2,1,167.43,45954,0.003643,0.7563658483694525,0.35218772820547095,0.09501297771930695,4.6,0.7561783053166127,0.006234824575712752,0.35175225895934986,0.011441552165751835,0.32269503546099293,0.39565217391304347,0.27245508982035926,0.08263305322128851,0.6413043478260869,0.04416167664670659,0.01188707280832095,0.8,0.005988023952095809,0.10497216880321503
yelp,SAGE,graph,default,3,1,167.43,45954,0.003643,0.7428100932808518,0.35032587163486684,0.10945191979408264,4.6,0.7439939614070811,0.006318497371807479,0.3534101455901199,0.012600722866299817,0.3333333333333333,0.40869565217391307,0.281437125748503,0.08403361344537816,0.6521739130434783,0.04491017964071856,0.010401188707280832,0.7,0.005239520958083832,0.12278051674365997
