dataset,model,init,norm,seed,auc,auprc,val_auprc,best_epoch,train_time_s,mad,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,GCN,default,none,0,0.5800895345256534,0.18557551460874333,0.21672908826777698,299,165.6,8.915612852433696e-05,0.5803635999096856,0.00811023468968814,0.18637972266763053,0.007256963562885633,0.18439716312056736,0.22608695652173913,0.15568862275449102,0.028011204481792718,0.21739130434782608,0.014970059880239521,0.0029717682020802376,0.2,0.0014970059880239522
yelp,GCN,default,none,1,0.5850587997884069,0.19275933309221527,,-1,66.0,6.0907859733561054e-05,0.5857555042416448,0.007089567784970295,0.19357430160439962,0.007542603556046437,0.20301418439716312,0.24891304347826088,0.17140718562874252,0.0350140056022409,0.2717391304347826,0.0187125748502994,0.0014858841010401188,0.1,0.0007485029940119761
yelp,GCN,default,none,2,0.5772128096149859,0.19486439117746607,,-1,66.0,8.032182813622057e-05,0.5755464083917109,0.009082991528928998,0.1943836503473966,0.008570708696942125,0.2154255319148936,0.26413043478260867,0.18188622754491018,0.037815126050420166,0.29347826086956524,0.020209580838323353,0.0029717682020802376,0.2,0.0014970059880239522
yelp,GCN,default,none,3,0.5883360728898618,0.19436577505370328,,-1,66.0,9.018025593832135e-05,0.5875588415995395,0.008574014615785658,0.1951702045338315,0.007583328308695333,0.20212765957446807,0.24782608695652175,0.17065868263473055,0.037815126050420166,0.29347826086956524,0.020209580838323353,0.0,0.0,0.0
yelp,GCN,default,none,4,0.5931810481633474,0.2155410016484795,,-1,66.0,0.0001152567274402827,0.5931128019045533,0.00865772214561667,0.2167609418615145,0.008992360753691215,0.21631205673758866,0.26521739130434785,0.18263473053892215,0.05042016806722689,0.391304347826087,0.02694610778443114,0.01337295690936107,0.9,0.006736526946107785
yelp,GCN,default,batch,0,0.6392171741039306,0.26506475327288315,0.26707822329933417,299,166.6,0.01695399172604084,0.639231877044626,0.009239592980008749,0.26516517822145025,0.010197220284661223,0.2473404255319149,0.3032608695652174,0.2088323353293413,0.08263305322128851,0.6413043478260869,0.04416167664670659,0.007429420505200594,0.5,0.0037425149700598802
yelp,GCN,default,batch,1,0.6262962078643122,0.25803966203470724,,-1,66.5,0.0178922601044178,0.6261013089962545,0.00792424304835319,0.25899665988400317,0.011500936016358758,0.24822695035460993,0.30434782608695654,0.20958083832335328,0.07563025210084033,0.5869565217391305,0.040419161676646706,0.01337295690936107,0.9,0.006736526946107785
yelp,GCN,default,batch,2,0.6287304623187434,0.27310895189799195,,-1,66.5,0.01790527254343033,0.6264338695115932,0.009450355543089315,0.2704833744853177,0.01261705749088773,0.2553191489361702,0.3130434782608696,0.2155688622754491,0.09663865546218488,0.75,0.051646706586826345,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,default,batch,3,0.6268963632053612,0.2669072853606577,,-1,66.5,0.014725219458341599,0.6262801846740412,0.008076038019103027,0.2682398881907997,0.012267227791742975,0.2473404255319149,0.3032608695652174,0.2088323353293413,0.0896358543417367,0.6956521739130435,0.04790419161676647,0.01337295690936107,0.9,0.006736526946107785
yelp,GCN,default,batch,4,0.6421261029366928,0.2871733162132874,,-1,66.5,0.01394172664731741,0.6430105530685745,0.008885879169882321,0.29049939415111625,0.014425848564361366,0.26595744680851063,0.32608695652173914,0.2245508982035928,0.09663865546218488,0.75,0.051646706586826345,0.01188707280832095,0.8,0.005988023952095809
